,0,1,2
72,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
73,1.760470397690263e-05,3.450179409329285e-05,4.0388537732991375e-05
74,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
75,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
76,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
77,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
78,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
79,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
80,3.520940795380526e-05,1.7250897046646426e-05,4.0388537732991375e-05
81,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
82,1.760470397690263e-05,6.90035881865857e-05,2.0194268866495687e-05
83,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
84,1.760470397690263e-05,8.625448523323213e-05,0.00010097134433247844
85,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
86,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
87,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
88,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
89,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
90,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
91,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
92,1.760470397690263e-05,6.90035881865857e-05,8.077707546598275e-05
93,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
94,3.520940795380526e-05,8.625448523323213e-05,0.0001615541509319655
95,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
96,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
97,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
98,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
99,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
100,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
101,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
102,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
103,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
104,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
105,5.2814111930707886e-05,3.450179409329285e-05,4.0388537732991375e-05
106,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
107,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
108,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
109,3.520940795380526e-05,3.450179409329285e-05,2.0194268866495687e-05
110,0.0001760470397690263,0.00036226883797957495,0.00030291403299743534
111,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
112,3.520940795380526e-05,8.625448523323213e-05,0.00012116561319897414
113,1.760470397690263e-05,5.1752691139939274e-05,0.00010097134433247844
114,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
115,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
116,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
117,1.760470397690263e-05,1.7250897046646426e-05,8.077707546598275e-05
118,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
119,1.760470397690263e-05,0.00010350538227987855,2.0194268866495687e-05
120,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
121,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
122,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
123,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
124,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
125,8.802351988451315e-05,1.7250897046646426e-05,2.0194268866495687e-05
126,5.2814111930707886e-05,1.7250897046646426e-05,2.0194268866495687e-05
127,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
128,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
129,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
130,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
131,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
132,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
133,1.760470397690263e-05,3.450179409329285e-05,0.0001817484197984612
134,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
135,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
136,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
137,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
138,3.520940795380526e-05,6.90035881865857e-05,2.0194268866495687e-05
139,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
140,1.760470397690263e-05,3.450179409329285e-05,4.0388537732991375e-05
141,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
142,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
143,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
144,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
145,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
146,1.760470397690263e-05,0.0002070107645597571,4.0388537732991375e-05
147,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
148,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
149,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
150,5.2814111930707886e-05,1.7250897046646426e-05,2.0194268866495687e-05
151,5.2814111930707886e-05,1.7250897046646426e-05,2.0194268866495687e-05
